0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,0,3.125,17,25
0.44,0,0.88,0,0.44,1.32,4,0,0,0,0,0,0,0,0,4,0,0.44,1.76,0,2.2,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,83,95,0,2.413,16,140
0,0,0,0,0,0,32,1.04,0,0,0.52,1.04,0.52,0,0,8,0,0,3.66,1.04,1.04,0,1.57,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,97,0,5.787,47,272
0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,0,1,1,6
0,0.62,0.62,0,0,0,88,0,0,1.24,0,0,0,0,0,92,0,0.62,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,1.86,0,0,0,0,0,0,1.24,0,0,0,0.384,0,49,70,0.096,6,116,294
0,0,1.14,0,0,0,60,0,0,0,0,2.29,0,0,0,56,0,0,1.14,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0,94,63,0,1.833,5,22
0,0,0,0,0.77,0,51,0,0,0,0,0,0,0,0,59,0,0,1.55,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0.77,0,0,0,0.49,0,31,34,0,3.16,10,79
0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0,27,99,0,2.733,7,41
0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,38,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,81,53,0,4.368,51,83
0,0,0,0,0,0,85,0,0,0,0,0,1.58,0,0,43,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12,0,3.272,23,36
0.08,0.08,0.35,0,1.52,0.17,39,0,0.35,0.17,0,1.43,0,0.08,0,33,0.08,0,3.58,0,0.89,0,0.08,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.068,21,55,0.027,4.911,119,1277
0.07,0,0.15,0,1.53,0.15,56,0.46,0,0,0.07,0.46,0.46,0,0,12,0.07,0,0.76,0,0.38,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.07,0,0,0.61,0,0,0,0,0.022,0,97,75,0,1.705,36,220
0,0,0,0,0.57,0,74,0,0,0,0,1.72,0,0,0,20,0,0.57,0,0,0,0,0,0,1.72,0.57,0,0.57,0,0.57,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,8,50,0,1.964,12,110
0,0,0.8,0,2.42,0,8,0,0,0,0,0.4,0,0,0,69,0,0.4,5.26,0,1.61,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,32,27,0,2.36,35,59
0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,0,68,39,0,5.5,22,66
0,0,0,0,1.58,0.79,76,0,0,0,0,3.17,0,0,0,9,0,0.79,0,0,0,0,0,0,1.58,1.58,0,1.58,0,0,0.79,0,0,0,0.79,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0.263,0,83,37,0,2.575,15,103
0,0,0,0,1.26,0,49,1.26,1.26,1.26,1.26,1.26,0,0,0,12,5.06,0,2.53,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,23,0,72.5,287,290
0,0,0.25,0,0,0.25,51,0.25,0,0,0,0,0,0,0,11,0,0,1.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.18,0,0,47,0,1.324,5,98
0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,77,74,0,1,1,3
