0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,51,88,0,1,1,14,0
0,0,0,0,0.93,0,61,0,0,0.93,0,0,0,0,0,72,0,0,2.8,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,91,0,11.066,73,166,1
0.27,0,0.27,0,0,0,87,0,0,0,0,1.62,0.27,0,0,81,0.27,0,4.87,0,0.81,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,34,20,0.051,5.582,61,374,1
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.19,0,1.19,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.082,0,58,3,0.216,3.478,7,80,0
0,0,0.55,0,1.11,0,88,0,0,0,0,0.18,0.92,0,0.18,5,0.37,0.37,3.15,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,67,94,0,1.283,4,68,1
0,0.65,0,0,0.65,0,59,0,0,0,0,0.65,0,0,0.65,54,0,0,3.28,0,0.65,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,69,85,0,1.69,11,71,1
0.4,0,0,0,0.8,0,72,2.8,0,1.2,1.2,2.8,0,0,0,72,0,0,4,0,0.8,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,96,38,0.052,1.194,5,129,1
0,0,0.38,0,0.38,0.38,95,0,0.38,0,0,1.55,0,0,0,84,0,0,1.16,0,0.38,0,0,0,0.77,0.77,0.38,0,0,0,0,0,1.93,0,0,0,0,0,0.38,0,0,0,0,0,1.16,0,0,0,0,0.061,0,85,78,0,2.953,34,127,0
1.02,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,1.02,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,1.02,0,0,0.352,0,42,51,0,1.241,3,36,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,66,0,2.666,6,8,0
0,0,0,0,4.54,0,63,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,4.54,0,0,0,0,0,0,0,91,31,0,2,5,16,0
0,0,0,0,0,0,57,0,0,0,0,0.14,0,0,0,82,0,0,0,0,0.14,0,0,0,5.16,0,0,0,0.14,0.44,0,0,0.14,0,0,0,1.47,0,0.59,0,0,0,0,0,0.29,0,0,0,0.186,0.538,0.124,49,60,0,4.454,55,931,0
0,0,0,0,0,0,84,0,0,0,0,3.7,0,0,0,74,0,0,3.7,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,54,41,0,2.25,8,27,0
0,0,0,0,0,0,21,0,0,3.77,0,0,0,0,0,3,0,0,1.88,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0,0,49,11,0,4.333,13,78,1
0.04,0.14,0.29,0,0.04,0.04,98,0.09,0,0.19,0.09,1.03,0,0,0,61,0,0.24,0.09,0,0.04,0,0,0,0.04,0,0,0,0,0.14,0,0,0,0,0,0.09,0.24,0,0,0,0,0,0.04,0,0,0,0,0,0.02,0.157,0.013,83,6,0.006,2.655,185,1787,0
0,0,0.3,0,0,0,78,0,0,0.3,0,0.3,0,0,0.3,90,0,0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0.3,0.472,0.067,0,77,0,0.067,1.607,16,418,1
0.77,0.38,0.77,0,0,0.57,26,0.57,1.15,1.15,0,0.38,0.38,0,1.15,34,0.19,2.12,2.12,1.15,1.15,0,1.35,0.77,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.027,0,84,53,0.054,14.619,525,921,1
0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,21,0,0,3.03,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,3.03,0,3.03,0,0,6.06,3.03,0,0,0,0,0,0,0,0,38,72,0,2,12,42,0
0,0,0,0,0,0,97,0,0,0,0,0.96,0,0,0,41,0,0,3.84,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0.96,0,0,0,0.343,0,0,82,70,0,1.291,5,31,0
0.52,1.31,0.26,0,2.9,0.26,2,0.26,0,0.79,1.05,1.58,0.79,0,0,5,0,1.31,3.16,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,20,87,0,2.934,60,135,1
0,0,0.44,0,1.34,0,68,0,0,0,0,0,0,0,0,37,0.89,0,2.24,0,1.34,0,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0.068,0,28,6,0,6.77,78,325,1
0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,43,0,0,5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,96,0.416,1.937,8,31,0
